agency_id,agency_name,agency_url,agency_phone,agency_timezone,agency_lang
1,BC Transit,http://www.bctransit.com/regions/vic/,250-382-6161,America/Vancouver,en
3,BC Transit,http://www.bctransit.com/regions/whi/,604-932-4020,America/Vancouver,en
4,BC Transit,http://www.bctransit.com/regions/squ/,604-892-5559,America/Vancouver,en
7,BC Transit,http://www.bctransit.com/regions/kel/,250-860-8121,America/Vancouver,en
8,BC Transit,http://www.bctransit.com/regions/kam/,250-376-1216,America/Vancouver,en
