service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,feed_days_count,service_days_count,each_day_count,dof,actual_dof,dof_group,regular_service,mf_label
al1504-WK1504-Weekday-06-0010100,0,0,1,0,1,0,0,20150407,20150626,84,24,0;0;0;12;0;12;0,35,35,1,1.0,WF
al1504-WK1504-Weekday-06-1101000,1,1,0,1,0,0,0,20150407,20150626,84,34,0;10;12;0;12;0;0,124,124,1,1.0,MTTh
al1504-WK1504-Weekday-06-0000100,0,0,0,0,1,0,0,20150407,20150626,84,12,0;0;0;0;0;12;0,5,5,1,1.0,F
al1504-WK1504-Weekday-06-1111000,1,1,1,1,0,0,0,20150407,20150626,84,46,0;10;12;12;12;0;0,1234,1234,1,1.0,MTWTh
al1504-SATAPR15-Saturday-05,0,0,0,0,0,1,0,20150411,20150627,84,12,0;0;0;0;0;0;12,6,6,2,1.0,
al1504-SUN1504-Sunday-04,0,0,0,0,0,0,1,20150412,20150628,84,12,12;0;0;0;0;0;0,0,0,3,1.0,
al1504-SUNSTAT-Sunday-05,0,0,0,0,0,0,1,20150518,20150518,84,1,0;1;0;0;0;0;0,0,,,0.08,
am1506-WK1506-Weekday-02,1,1,1,1,1,0,0,20150629,20150904,70,48,0;9;10;9;10;10;0,12345,12345,1,1.0,MTWThF
am1506-WK1506-Weekday-02-0000100,0,0,0,0,1,0,0,20150629,20150904,70,10,0;0;0;0;0;10;0,5,5,1,1.0,F
am1506-SATSTAT-Saturday-08,0,0,0,0,0,1,0,20150701,20150701,70,1,0;0;0;1;0;0;0,6,,,0.1,
am1506-SATJUN15-Saturday-06,0,0,0,0,0,1,0,20150704,20150905,70,10,0;0;0;0;0;0;10,6,6,2,1.0,
am1506-SUN1506-Sunday-08,0,0,0,0,0,0,1,20150705,20150906,70,10,10;0;0;0;0;0;0,0,0,3,1.0,
am1506-SATSTAT-Saturday-09,0,0,0,0,0,1,0,20150803,20150803,70,1,0;1;0;0;0;0;0,6,,,0.1,
anSPR15-SPR15-7-days-36,1,1,1,1,1,1,1,20150507,20151120,219,125,17;17;18;18;19;19;17,0123456,,,0.61,
anSUM15-SUM15-7-days-36,1,1,1,1,1,1,1,20150627,20150907,219,73,11;11;10;10;10;10;11,0123456,,,0.35,
anEW15-EW2015-7-days-33,1,1,1,1,1,1,1,20151121,20151211,219,21,3;3;3;3;3;3;3,0123456,,,0.1,
