service_id,date,exception_type
akSQU13-SQWKY13-Weekday-03,20150518,2
akSQU13-SQWKY13-Weekday-03,20150701,2
akSQU13-SQWKY13-Weekday-03,20150803,2
akSQU13-SQWKY13-Weekday-03,20150907,2
akSQU13-SQWKY13-Weekday-03,20151012,2
akSQU13-SQWKY13-Weekday-03,20151111,2
akSQU13-SQWKY13-Weekday-03,20151225,2
akSQU13-SQU13-Sunday-03,20150209,1
akSQU13-SQU13-Sunday-03,20150403,1
akSQU13-SQU13-Sunday-03,20150406,1
akSQU13-SQU13-Sunday-03,20150518,1
akSQU13-SQU13-Sunday-03,20150701,1
akSQU13-SQU13-Sunday-03,20150803,1
akSQU13-SQU13-Sunday-03,20150907,1
akSQU13-SQU13-Sunday-03,20151012,1
akSQU13-SQU13-Sunday-03,20151111,1
akSQU13-SQU13-Sunday-03,20151225,1
akSQU13-SQU13-Sunday-03,20151226,1
al1504-SATAPR15-Saturday-04,20150406,1
al1504-WK1504-Weekday-06,20150518,2
al1504-WK1504-Weekday-06-0010100,20150518,2
al1504-WK1504-Weekday-06-1101000,20150518,2
al1504-WK1504-Weekday-06-0000100,20150518,2
al1504-WK1504-Weekday-06-1111000,20150518,2
al1504-SUNSTAT-Sunday-05,20150518,1
am1506-WK1506-Weekday-02,20150701,2
am1506-WK1506-Weekday-02-0000100,20150701,2
am1506-WK1506-Weekday-02,20150803,2
am1506-WK1506-Weekday-02-0000100,20150803,2
am1506-SATSTAT-Saturday-08,20150701,1
am1506-SATSTAT-Saturday-09,20150803,1
anSPR15-SPR15-7-days-36,20150627,2
anSPR15-SPR15-7-days-36,20150628,2
anSPR15-SPR15-7-days-36,20150629,2
anSPR15-SPR15-7-days-36,20150630,2
anSPR15-SPR15-7-days-36,20150701,2
anSPR15-SPR15-7-days-36,20150702,2
anSPR15-SPR15-7-days-36,20150703,2
anSPR15-SPR15-7-days-36,20150704,2
anSPR15-SPR15-7-days-36,20150705,2
anSPR15-SPR15-7-days-36,20150706,2
anSPR15-SPR15-7-days-36,20150707,2
anSPR15-SPR15-7-days-36,20150708,2
anSPR15-SPR15-7-days-36,20150709,2
anSPR15-SPR15-7-days-36,20150710,2
anSPR15-SPR15-7-days-36,20150711,2
anSPR15-SPR15-7-days-36,20150712,2
anSPR15-SPR15-7-days-36,20150713,2
anSPR15-SPR15-7-days-36,20150714,2
anSPR15-SPR15-7-days-36,20150715,2
anSPR15-SPR15-7-days-36,20150716,2
anSPR15-SPR15-7-days-36,20150717,2
anSPR15-SPR15-7-days-36,20150718,2
anSPR15-SPR15-7-days-36,20150719,2
anSPR15-SPR15-7-days-36,20150720,2
anSPR15-SPR15-7-days-36,20150721,2
anSPR15-SPR15-7-days-36,20150722,2
anSPR15-SPR15-7-days-36,20150723,2
anSPR15-SPR15-7-days-36,20150724,2
anSPR15-SPR15-7-days-36,20150725,2
anSPR15-SPR15-7-days-36,20150726,2
anSPR15-SPR15-7-days-36,20150727,2
anSPR15-SPR15-7-days-36,20150728,2
anSPR15-SPR15-7-days-36,20150729,2
anSPR15-SPR15-7-days-36,20150730,2
anSPR15-SPR15-7-days-36,20150731,2
anSPR15-SPR15-7-days-36,20150801,2
anSPR15-SPR15-7-days-36,20150802,2
anSPR15-SPR15-7-days-36,20150803,2
anSPR15-SPR15-7-days-36,20150804,2
anSPR15-SPR15-7-days-36,20150805,2
anSPR15-SPR15-7-days-36,20150806,2
anSPR15-SPR15-7-days-36,20150807,2
anSPR15-SPR15-7-days-36,20150808,2
anSPR15-SPR15-7-days-36,20150809,2
anSPR15-SPR15-7-days-36,20150810,2
anSPR15-SPR15-7-days-36,20150811,2
anSPR15-SPR15-7-days-36,20150812,2
anSPR15-SPR15-7-days-36,20150813,2
anSPR15-SPR15-7-days-36,20150814,2
anSPR15-SPR15-7-days-36,20150815,2
anSPR15-SPR15-7-days-36,20150816,2
anSPR15-SPR15-7-days-36,20150817,2
anSPR15-SPR15-7-days-36,20150818,2
anSPR15-SPR15-7-days-36,20150819,2
anSPR15-SPR15-7-days-36,20150820,2
anSPR15-SPR15-7-days-36,20150821,2
anSPR15-SPR15-7-days-36,20150822,2
anSPR15-SPR15-7-days-36,20150823,2
anSPR15-SPR15-7-days-36,20150824,2
anSPR15-SPR15-7-days-36,20150825,2
anSPR15-SPR15-7-days-36,20150826,2
anSPR15-SPR15-7-days-36,20150827,2
anSPR15-SPR15-7-days-36,20150828,2
anSPR15-SPR15-7-days-36,20150829,2
anSPR15-SPR15-7-days-36,20150830,2
anSPR15-SPR15-7-days-36,20150831,2
anSPR15-SPR15-7-days-36,20150901,2
anSPR15-SPR15-7-days-36,20150902,2
anSPR15-SPR15-7-days-36,20150903,2
anSPR15-SPR15-7-days-36,20150904,2
anSPR15-SPR15-7-days-36,20150905,2
anSPR15-SPR15-7-days-36,20150906,2
anSPR15-SPR15-7-days-36,20150907,2
